Year,District,Code,Location,type_of_crime,total
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Damage,456
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Graffiti,82
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Drugs,168
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Local,1115
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Robbery,109
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Street_robbery,82
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Injury,395
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Agg_assault,138
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Threat,101
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Theft,1932
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Car,35
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,From_car,226
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Bike,347
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Burglary,150
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Fire,27
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Arson,11
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Damage,441
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Graffiti,129
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Drugs,423
2012,Friedrichshain-Kreuzberg,20304,südliche Luisenstadt,Local,963
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Robbery,58
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Street_robbery,34
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Injury,235
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Agg_assault,61
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Threat,55
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Theft,1242
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Car,71
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,From_car,206
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Bike,185
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Burglary,56
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Fire,15
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Arson,5
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Damage,356
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Graffiti,46
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Drugs,23
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-Nord,Local,625
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Robbery,86
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Street_robbery,57
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Injury,471
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Agg_assault,123
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Threat,105
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Theft,2725
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Car,46
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,From_car,242
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Bike,299
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Burglary,59
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Fire,22
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Arson,7
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Damage,537
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Graffiti,87
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Drugs,167
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-Süd,Local,1040
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Robbery,34
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Street_robbery,16
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Injury,265
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Agg_assault,83
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Threat,80
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Theft,1528
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Car,55
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,From_car,117
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Bike,286
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Burglary,59
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Fire,48
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Arson,15
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Damage,534
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Graffiti,84
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Drugs,50
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee Nord,Local,824
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Robbery,140
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Street_robbery,80
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Injury,865
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Agg_assault,276
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Threat,159
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Theft,3588
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Car,62
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,From_car,291
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Bike,616
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Burglary,166
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Fire,67
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Arson,22
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Damage,1171
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Graffiti,272
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Drugs,256
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee Süd FK,Local,2086
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Robbery,11
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Street_robbery,6
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Injury,223
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Agg_assault,53
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Threat,23
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Theft,607
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Car,1
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",From_car,17
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Bike,7
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Burglary,0
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Fire,0
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Arson,1
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Damage,389
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Graffiti,315
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Drugs,18
2012,Friedrichshain-Kreuzberg,29900,"Bezirk (Fh-Kb), nicht zuzuordnen",Local,293
2012,Pankow,30101,Buch,Robbery,16
2012,Pankow,30101,Buch,Street_robbery,6
2012,Pankow,30101,Buch,Injury,154
2012,Pankow,30101,Buch,Agg_assault,45
2012,Pankow,30101,Buch,Threat,48
2012,Pankow,30101,Buch,Theft,1035
2012,Pankow,30101,Buch,Car,32
2012,Pankow,30101,Buch,From_car,190
2012,Pankow,30101,Buch,Bike,199
2012,Pankow,30101,Buch,Burglary,21
2012,Pankow,30101,Buch,Fire,18
2012,Pankow,30101,Buch,Arson,6
